Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_footprint_link,-4.66499999999999,-1.42122541302568E-15,0.133662842012357,0,0,0,22.2756864,0.82704398822242,1.94880482744346E-16,-1.23451412785749E-15,1.32108057062241,7.78350281109661E-17,1.56687794176,0,0,0,0,0,0,package://straw_machine_urdf_ver2/meshes/base_footprint_link.STL,1,1,1,0.15,0,0,0,0,0,0,package://straw_machine_urdf_ver2/meshes/base_footprint_link.STL,,basket_completed_straw_compact.sat-1,base_footprint_Coordinate,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
base_link,-2.41216049027595,-0.00488489986570808,-0.25731214457616,0,0,0,1202.0089133133,132.269701263897,3.58197179894802E-07,-2.04914937482778E-10,1043.35910574541,-0.000123119522437105,1166.55895402404,0,0,0,0,0,0,package://straw_machine_urdf_ver2/meshes/base_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://straw_machine_urdf_ver2/meshes/base_link.STL,,sh_straw_assy_VER1_decouple_fixed_part.sat-1,base_link_Coordinate,Axis0,base_link,fixed,0,0,0.54568,0,0,0,base_footprint_link,0,0,0,,,,,,,,,,,,
mu1,-0.33749355127765,-0.021458709219862,-0.13366233803147,0,0,0,75.0234298122286,0.226305818645367,-4.14963555321239E-06,-3.05615942035832E-05,1.30907271090525,-0.0030212251503756,1.19252874693084,0,0,0,0,0,0,package://straw_machine_urdf_ver2/meshes/mu1.STL,0.776470588235294,0.756862745098039,0.737254901960784,1,0,0,0,0,0,0,package://straw_machine_urdf_ver2/meshes/mu1.STL,,motor_unit_horizontal_movement_1-2_without_drill.sat-1,Coordinate System1,Axis1,mu1,prismatic,-0.9915,0.225,0.14651,1.5708,0,0,base_link,0,0,1,1000,10,0,0.035,,,,,,,,
mu2,-0.337506448722345,0.0214587092198547,-0.133662338037329,0,0,0,75.0234298122285,0.226305818645367,-4.14963555405236E-06,3.05615942034045E-05,1.30907271090524,0.0030212251503759,1.19252874693084,0,0,0,0,0,0,package://straw_machine_urdf_ver2/meshes/mu2.STL,0.776470588235294,0.756862745098039,0.737254901960784,1,0,0,0,0,0,0,package://straw_machine_urdf_ver2/meshes/mu2.STL,,motor_unit_horizontal_movement_1-2_without_drill.sat-2,Coordinate System2,Axis2,mu2,prismatic,-0.9915,-0.225,0.14651,-1.5708,0,0,base_link,0,0,1,1000,10,0,0.035,,,,,,,,
mu3,-0.337493551277646,-0.0214587092198459,-0.133662338031467,0,0,0,75.0234298122287,0.226305818645368,-4.14963555423598E-06,-3.05615942044009E-05,1.30907271090525,-0.00302122515037526,1.19252874693084,0,0,0,0,0,0,package://straw_machine_urdf_ver2/meshes/mu3.STL,0.776470588235294,0.756862745098039,0.737254901960784,1,0,0,0,0,0,0,package://straw_machine_urdf_ver2/meshes/mu3.STL,,motor_unit_horizontal_movement_1-2_without_drill.sat-3,Coordinate System3,Axis3,mu3,prismatic,-1.7415,0.225000000000725,0.146510533365592,1.57079632679489,0,0,base_link,0,0,1,1000,10,0,0.07,,,,,,,,
mu4,-0.337506448722352,0.0214587092198618,-0.133662338037325,0,0,0,75.0234298122286,0.226305818645367,-4.14963555284837E-06,3.05615942035984E-05,1.30907271090525,0.00302122515037554,1.19252874693084,0,0,0,0,0,0,package://straw_machine_urdf_ver2/meshes/mu4.STL,0.776470588235294,0.756862745098039,0.737254901960784,1,0,0,0,0,0,0,package://straw_machine_urdf_ver2/meshes/mu4.STL,,motor_unit_horizontal_movement_1-2_without_drill.sat-4,Coordinate System4,Axis4,mu4,prismatic,-1.74149999999999,-0.224999999999301,0.146510533366394,-1.57079632680112,0,0,base_link,0,0,1,1000,10,0,0.07,,,,,,,,
mu5,-0.337493551277648,-0.0214587092198401,-0.133662338031468,0,0,0,9.74330257301671,0.0293902705498378,-3.70760250007013E-07,-3.96903820833513E-06,0.170009538482709,-0.000392366902646149,0.154873863237772,0,0,0,0,0,0,package://straw_machine_urdf_ver2/meshes/mu5.STL,0.741176470588235,0.733333333333333,0.725490196078431,1,0,0,0,0,0,0,package://straw_machine_urdf_ver2/meshes/mu5.STL,,motor_unit_horizontal_movement_3-4_without_drill.sat-1,Coordinate System5,Axis5,mu5,prismatic,-2.4915,0.270000000000725,0.146510533366868,1.5707963267949,0,0,base_link,0,0,1,1000,10,0,0.105,,,,,,,,
mu6,-0.337506448722347,0.0214587092198392,-0.133662338037327,0,0,0,9.74330257301669,0.0293902705498377,-3.70760250010072E-07,3.96903820820157E-06,0.170009538482709,0.000392366902646219,0.154873863237771,0,0,0,0,0,0,package://straw_machine_urdf_ver2/meshes/mu6.STL,0.741176470588235,0.733333333333333,0.725490196078431,1,0,0,0,0,0,0,package://straw_machine_urdf_ver2/meshes/mu6.STL,,motor_unit_horizontal_movement_3-4_without_drill.sat-2,Coordinate System6,Axis6,mu6,prismatic,-2.4915,-0.270000000000212,0.146510533368713,-1.5707963267949,0,0,base_link,0,0,1,1000,10,0,0.105,,,,,,,,
mu7,-0.337506448722343,0.0214587092198324,-0.133662338037327,0,0,0,9.74330257301669,0.0293902705498377,-3.7076025055957E-07,3.96903820820218E-06,0.170009538482709,0.000392366902646218,0.154873863237771,0,0,0,0,0,0,package://straw_machine_urdf_ver2/meshes/mu7.STL,0.741176470588235,0.733333333333333,0.725490196078431,1,0,0,0,0,0,0,package://straw_machine_urdf_ver2/meshes/mu7.STL,,motor_unit_horizontal_movement_3-4_without_drill.sat-3,Coordinate System7,Axis7,mu7,prismatic,-3.2415,-0.270000000000213,0.146510533368611,-1.5707963267949,0,0,base_link,0,0,1,1000,10,0,0.125,,,,,,,,
mu8,-0.00902959477954496,0.0698943780550052,1.18977000157236,0,0,0,4.82343832674429,1.99920769464567,1.82398415652849E-07,-5.14382630318662E-11,1.99666259099405,-3.43923628570342E-13,0.00536705301278456,0,0,0,0,0,0,package://straw_machine_urdf_ver2/meshes/mu8.STL,0.745098039215686,0.745098039215686,0.745098039215686,1,0,0,0,0,0,0,package://straw_machine_urdf_ver2/meshes/mu8.STL,,LM_unit_assy_moving_part.sat-1,Coordinate System8,Axis8,mu8,prismatic,-0.850000000000082,0.0700000000007299,-0.0749894666276235,3.14159265358979,1.5707963267949,0,base_link,0,0,1,1000,10,0,0.75,,,,,,,,
