Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_footprint_link,-4.66499999999999,-1.40178776375064E-15,0.133662842012357,0,0,0,22.2756864,0.82704398822242,1.9488048274588E-16,-1.23451412785749E-15,1.32108057062241,7.78350281109661E-17,1.56687794176,0,0,0,0,0,0,package://straw_machine_urdf_ver3/meshes/base_footprint_link.STL,1,1,1,0.15,0,0,0,0,0,0,package://straw_machine_urdf_ver3/meshes/base_footprint_link.STL,,basket_completed_straw_compact.sat-1,base_footprint_Coordinate,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
base_link,-2.39368092049717,-0.00483290229325627,-0.252252499123038,0,0,0,1213.92065796691,132.416224920255,3.58189072115875E-07,0.0223637390499985,1043.69559443683,-0.000123119524351544,1166.88356648259,0,0,0,0,0,0,package://straw_machine_urdf_ver3/meshes/base_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://straw_machine_urdf_ver3/meshes/base_link.STL,,sh_straw_assy_VER1_decouple_fixed_part.sat-1;straw_input_assy.sat-1,base_link_Coordinate,Axis0,base_link,fixed,0,0,0.545676016401044,0,0,0,base_footprint_link,0,0,0,,,,,,,,,,,,
mu1,-0.337363269809431,-0.0214591555299248,-0.133596408142677,0,0,0,75.0555960646854,0.22631249756036,-4.14959191595793E-06,-3.05613269081282E-05,1.30907938988668,-0.00302122519673946,1.19253289599207,0,0,0,0,0,0,package://straw_machine_urdf_ver3/meshes/mu1.STL,0.776470588235294,0.756862745098039,0.737254901960784,1,0,0,0,0,0,0,package://straw_machine_urdf_ver3/meshes/mu1.STL,,motor_unit_horizontal_movement_1-2_without_drill.sat-1;motor_unit_drill_cw_80.sat-1;motor_unit_drill_ccw_80.sat-1,Coordinate System1,Axis1,mu1,prismatic,-0.9915,0.225,0.14651,1.5708,0,0,base_link,0,0,1,1000,10,0,0.035,,,,,,,,
mu2,-0.337376161431358,0.0214591554690577,-0.133596408148156,0,0,0,75.0555960649108,0.226312497550682,-4.14960122570876E-06,3.05614336215244E-05,1.30907938989656,0.00302122510940393,1.19253289599206,0,0,0,0,0,0,package://straw_machine_urdf_ver3/meshes/mu2.STL,0.776470588235294,0.756862745098039,0.737254901960784,1,0,0,0,0,0,0,package://straw_machine_urdf_ver3/meshes/mu2.STL,,motor_unit_horizontal_movement_1-2_without_drill.sat-2;motor_unit_drill_cw_80.sat-3;motor_unit_drill_ccw_80.sat-4,Coordinate System2,Axis2,mu2,prismatic,-0.9915,-0.225,0.14651,-1.5708,0,0,base_link,0,0,1,1000,10,0,0.035,,,,,,,,
mu3,-0.337363269646318,-0.0214591556499361,-0.133596408146301,0,0,0,75.0555960636088,0.226312497647726,-4.14963396079185E-06,-3.05616878546081E-05,1.30907938979761,-0.00302122501363325,1.19253289599207,0,0,0,0,0,0,package://straw_machine_urdf_ver3/meshes/mu3.STL,0.776470588235294,0.756862745098039,0.737254901960784,1,0,0,0,0,0,0,package://straw_machine_urdf_ver3/meshes/mu3.STL,,motor_unit_horizontal_movement_1-2_without_drill.sat-3;motor_unit_drill_cw_80.sat-4;motor_unit_drill_ccw_80.sat-5,Coordinate System3,Axis3,mu3,prismatic,-1.7415,0.225,0.14651,1.5708,0,0,base_link,0,0,1,1000,10,0,0.07,,,,,,,,
mu4,-0.337376161447409,0.0214591554111777,-0.133596408148545,0,0,0,75.0555960647155,0.226312497582339,-4.14958139528946E-06,3.05614270823844E-05,1.30907938986475,0.00302122516259459,1.19253289599207,0,0,0,0,0,0,package://straw_machine_urdf_ver3/meshes/mu4.STL,0.776470588235294,0.756862745098039,0.737254901960784,1,0,0,0,0,0,0,package://straw_machine_urdf_ver3/meshes/mu4.STL,,motor_unit_horizontal_movement_1-2_without_drill.sat-4;motor_unit_drill_cw_80.sat-5;motor_unit_drill_ccw_80.sat-6,Coordinate System4,Axis4,mu4,prismatic,-1.7415,-0.225,0.14651,-1.5708,0,0,base_link,0,0,1,1000,10,0,0.07,,,,,,,,
mu5,-0.33645841124075,-0.0214622549158839,-0.133125891601043,0,0,0,9.77659329312296,0.0294016457699521,-3.70764876458773E-07,-3.96925533772826E-06,0.170020913698898,-0.000392366747018804,0.154878015158681,0,0,0,0,0,0,package://straw_machine_urdf_ver3/meshes/mu5.STL,0.741176470588235,0.733333333333333,0.725490196078431,1,0,0,0,0,0,0,package://straw_machine_urdf_ver3/meshes/mu5.STL,,motor_unit_horizontal_movement_3-4_without_drill.sat-1;motor_unit_drill_cw_125.sat-1;motor_unit_drill_ccw_125.sat-1,Coordinate System5,Axis5,mu5,prismatic,-2.4915,0.27,0.14651,1.5708,0,0,base_link,0,0,1,1000,10,0,0.105,,,,,,,,
mu6,-0.336471264636451,0.0214622555944231,-0.133125891602544,0,0,0,9.77659329330807,0.0294016457672098,-3.70765226304322E-07,3.96889147848637E-06,0.170020913702231,0.000392367125430016,0.154878015158681,0,0,0,0,0,0,package://straw_machine_urdf_ver3/meshes/mu6.STL,0.741176470588235,0.733333333333333,0.725490196078431,1,0,0,0,0,0,0,package://straw_machine_urdf_ver3/meshes/mu6.STL,,motor_unit_horizontal_movement_3-4_without_drill.sat-2;motor_unit_drill_cw_125.sat-2;motor_unit_drill_ccw_125.sat-2,Coordinate System6,Axis6,mu6,prismatic,-2.4915,-0.27,0.14651,-1.5708,0,0,base_link,0,0,1,1000,10,0,0.105,,,,,,,,
mu7,-0.336471264636106,0.0214622555944241,-0.133125891602264,0,0,0,9.77659329331876,0.029401645767234,-3.70765226388772E-07,3.96889148211059E-06,0.170020913702255,0.000392367125426981,0.154878015158681,0,0,0,0,0,0,package://straw_machine_urdf_ver3/meshes/mu7.STL,0.741176470588235,0.733333333333333,0.725490196078431,1,0,0,0,0,0,0,package://straw_machine_urdf_ver3/meshes/mu7.STL,,motor_unit_horizontal_movement_3-4_without_drill.sat-3;motor_unit_drill_cw_125.sat-3;motor_unit_drill_ccw_125.sat-3,Coordinate System7,Axis7,mu7,prismatic,-3.2415,-0.27,0.14651,-1.5708,0,0,base_link,0,0,1,1000,10,0,0.125,,,,,,,,
mu8,-0.00902959477954507,0.0698943780550052,1.18977000157236,0,0,0,4.82343832674429,1.99920769464567,1.82398415652758E-07,-5.14382592453422E-11,1.99666259099405,-3.43927802489826E-13,0.00536705301278456,0,0,0,0,0,0,package://straw_machine_urdf_ver3/meshes/mu8.STL,0.745098039215686,0.745098039215686,0.745098039215686,1,0,0,0,0,0,0,package://straw_machine_urdf_ver3/meshes/mu8.STL,,LM_unit_assy_moving_part.sat-1,Coordinate System8,Axis8,mu8,prismatic,-0.850000000000082,0.0700000000007299,-0.0749894666276235,3.14159265358979,1.5707963267949,0,base_link,0,0,1,1000,10,0,0.75,,,,,,,,
